two_realRank,1-qid,State,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bathrooms,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_Entire condo,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in home,property_type_Private room in loft,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in rental unit,accommodates_contribution,availability_30_contribution,availability_365_contribution,availability_60_contribution,availability_90_contribution,bathrooms_contribution,beds_contribution,host_has_profile_pic_contribution,host_identity_verified_contribution,host_is_superhost_contribution,number_of_reviews_contribution,number_of_reviews_l30d_contribution,number_of_reviews_ltm_contribution,property_type_Entire condo_contribution,property_type_Entire guest suite_contribution,property_type_Entire home_contribution,property_type_Entire loft_contribution,property_type_Entire rental unit_contribution,property_type_Entire serviced apartment_contribution,property_type_Entire townhouse_contribution,property_type_Private room in condo_contribution,property_type_Private room in guest suite_contribution,property_type_Private room in home_contribution,property_type_Private room in loft_contribution,property_type_Private room in rental unit_contribution,property_type_Private room in townhouse_contribution,property_type_Room in boutique hotel_contribution,property_type_Room in hotel_contribution,property_type_Shared room in rental unit_contribution,review_scores_accuracy_contribution,review_scores_checkin_contribution,review_scores_cleanliness_contribution,review_scores_communication_contribution,review_scores_location_contribution,review_scores_rating_contribution,review_scores_value_contribution,reviews_per_month_contribution,room_type_Entire home/apt_contribution,room_type_Hotel room_contribution,room_type_Private room_contribution,room_type_Shared room_contribution,model,predicted
83,Brooklyn,34363916,1,1,1,4,2,0.033333333,0.1,0.177777778,0.698630137,44,14,3,0.87,4.98,4.98,4.98,5,5,5,4.93,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.056159925,0.790568369,0.24766191,0.252821826,0.102057538,0.435751304,0.950989658,0.375998809,0.047771012,0.848653915,0.967563726,0.293366868,0.04311972,0.542285948,,0.245470074,0.064861838,0.894650986,0.201046229,0.200767827,,,0.293819756,0.557437833,0.832700208,0.124745591,0.941984411,0.761746377,,0.988686399,0.446215943,0.911610687,0.897617481,0.899522155,0.026544851,0.441991646,0.37153997,0.637208383,,0.055116991,,Manhattan_SVM,193
133,Brooklyn,36065361,0,1,1,8,5,0.266666667,0.416666667,0.588888889,0.882191781,126,39,3,2.48,4.8,4.87,4.75,4.85,4.79,4.72,4.75,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.537967476,0.436532543,0.034429541,0.650521043,0.224076272,0.099534895,0.603884938,0.436247832,0.121518716,0.124127399,1,0.37063795,0.039792722,0.74246154,,0.366412295,0.029837628,0.881420513,0.211534375,0.430146811,,,0.505720629,0.556166584,0.811685955,0.089416229,0.655834839,0.851511182,,0.710964594,0.784400494,0.618196014,0.058126313,0.085056198,0.255443915,0.353985969,0.810788872,0.783971429,,0.020704944,,Manhattan_SVM,200
83,Brooklyn,12591059,0,1,0,4,2,0,0,0,0,4,0,0,0.04,4,4.25,3.5,4.25,4.75,4.75,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.047706244,0.980365457,0.945932463,0.022140676,0.338226982,0.187051034,0.911970505,0.302649071,0.923389208,0.101160501,0.067640081,0.972488333,0.94889844,0.768794328,,0.315530592,0.927497466,0.091037769,0.218536246,0.242179735,,,0.7974415,0.461131652,0.893078385,0.117833497,0.807671226,0.792290951,,0.036369515,0.631508094,0.305652019,0.127484285,0.116773089,0.99183156,0.613011717,0.146754821,0.554091411,,0.053896642,,Manhattan_SVM,46
30,Brooklyn,12851307,0,1,1,2,1,0,0,0,0,6,0,0,0.07,3.5,3.83,2.67,4.83,4.67,5,3.83,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.05041959,0.970212561,0.985690684,0.013626222,0.723027827,0.029619592,0.949718027,0.478717149,0.094843573,0.028346884,0.133489892,0.965170069,0.984442886,0.633955111,,0.347104952,0.909818864,0.84869684,0.105307739,0.19125664,,,0.584075679,0.429036123,0.104481126,0.092450631,0.862501749,0.696635645,,0.03620524,0.681103418,0.115213553,0.103015589,0.909588103,1,0.642782131,0.238915849,0.438998547,,0.963856676,,Manhattan_SVM,35
12,Brooklyn,6.75E+17,0,1,1,6,4,0,0,0,0,3,0,0,0.23,5,4.67,5,4.67,5,5,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310291845,1,0.983304146,0.018602616,0.568036273,0.437579881,0.732256151,0.699490932,0.127667139,0.117466655,0.09547726,0.927589819,0.961579466,0.126231171,,0.296054067,0.934680934,0.917382332,0.162224708,0.277286839,,,0.443429567,0.589780084,0.875942384,0.06939404,0.822465306,0.704311229,,0.030984299,0.602529735,0.957108882,0.878364395,0.916509404,0.034990692,0.708665263,0.315199353,0.563074945,,0.050604472,,Manhattan_SVM,103
17,Brooklyn,39556673,0,1,1,6,6,0,0,0.155555556,0.038356164,21,4,0,0.45,4.95,4.9,4.95,4.95,4.95,5,4.6,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287857076,0.896980947,0.954428605,0.01066479,0.326408018,0.789442685,0.027214894,0.763820433,0.107482105,0.056537957,0.184018218,0.950645883,0.792303965,0.203428445,,0.383079069,0.976659965,0.79198098,0.155387397,0.265364805,,,0.015684196,0.429883659,0.872420345,0.023122463,0.687321355,0.732955077,,0.729873485,0.549003673,0.889250928,0.880667457,1,0.018032767,0.334767141,0.237003774,0.553340254,,0.094863928,,Manhattan_SVM,80
147,Brooklyn,39581504,0,1,0,12,4,0,0,0,0,2,0,0,0.04,5,5,5,5,5,5,5,4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976867377,0.943816635,0.943076684,0.02358701,0.605822675,0.916560999,0.760902793,0.289530035,1,0.10093077,0.090169251,0.969156854,0.976272766,0.627512779,,0.866505554,0.951314707,0.821910771,0.139852218,0.304153664,,,0.484080779,0.331392663,0.829512288,0.081411914,0.760875544,0.706089939,,0.962439628,0.247774919,0.885545638,0.83354074,0.94444476,0.005912587,0.629564646,0.204080046,0.729547884,,0.063867458,,Manhattan_SVM,5
73,Brooklyn,5.85E+17,1,1,1,8,4,0.633333333,0.516666667,0.611111111,0.150684932,67,45,4,3.85,4.87,4.84,4.88,4.94,4.91,4.97,4.82,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.502837173,0.421250864,0.957061048,0.629366934,0.751172704,0.08555819,0.736764555,0.317026378,0.085255733,0.982117253,0.905539327,0.217129672,0.038018978,0.930432849,,0.40068504,0.899769535,0.130037845,0.140262452,0.281800078,,,0.375091623,0.380536985,0.771083187,0.208327836,0.761934014,0.69661199,,0.72920166,0.310745879,0.754700892,0.7957831,0.959142777,0.229345366,0.584548492,0.784520205,0.829452819,,0.042229557,,Manhattan_SVM,188
28,Brooklyn,44465405,0,1,1,16,9,0,0,0,0,13,8,0,0.7,4.31,4.31,4.08,4.46,4.54,4.46,4.46,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979086147,0.95757211,0.960967802,0.024830478,0.447363202,0.900103117,0.113121589,0.528225851,0.064170269,0.118955097,0.23306496,0.944549092,0.759180147,0.473039589,,0.669200881,0.878994116,0.93746898,0.260436192,0.197865713,,,0.680359877,0.421635862,0.871113681,0.135031033,0.685450126,0.754342692,,0.049907937,0.72889695,0.129720003,0.059948934,0.092911126,0.995396868,0.748430601,0.337993923,0.620559211,,0.049887414,,Manhattan_SVM,50
60,Brooklyn,15928889,0,1,0,1,1,0,0,0,0,3,0,0,0.04,5,4.5,4,5,5,4.5,4.5,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.035228378,0.946872186,0.95886271,0.015182467,0.383754772,0.119969543,0.935140559,0.718781652,0.908902202,0.11436423,0.047754528,0.949109297,0.957289173,0.73974533,,0.159260047,0.939106673,0.889192409,0.142944172,0.181635287,,,0.898609732,0.505991258,0.072700327,0.121582293,0.71067322,0.714395037,,0.028049424,0.198508928,0,0.78762945,0.073287257,0.016676505,0.59949019,0.164172017,0.303741841,,0.953879154,,Manhattan_SVM,146
